CROP TYPE,SOIL TYPE,REGION,TEMPERATURE,WEATHER CONDITION,WATER REQUIREMENT
WHEAT,DRY,SEMI HUMID,Oct-20,RAINY,0.4
WHEAT,DRY,SEMI HUMID,20-30,NORMAL,9.5
WHEAT,DRY,SEMI HUMID,20-30,SUNNY,11
WHEAT,DRY,SEMI HUMID,20-30,WINDY,10.5
WHEAT,DRY,SEMI HUMID,20-30,RAINY,1.5
WHEAT,DRY,SEMI HUMID,30-40,NORMAL,10.4
WHEAT,DRY,SEMI HUMID,30-40,SUNNY,11.9
WHEAT,DRY,SEMI HUMID,30-40,WINDY,11.4
WHEAT,DRY,SEMI HUMID,30-40,RAINY,2.4
WHEAT,DRY,SEMI HUMID,40-50,NORMAL,11.35
WHEAT,DRY,SEMI HUMID,40-50,SUNNY,12.85
WHEAT,DRY,SEMI HUMID,40-50,WINDY,12.35
WHEAT,DRY,SEMI HUMID,40-50,RAINY,3.3
WHEAT,DRY,HUMID,Oct-20,NORMAL,6.9
WHEAT,DRY,HUMID,Oct-20,SUNNY,8.4
WHEAT,DRY,HUMID,Oct-20,WINDY,7.9
WHEAT,DRY,HUMID,Oct-20,RAINY,0.5
WHEAT,DRY,HUMID,20-30,NORMAL,7.82
WHEAT,DRY,HUMID,20-30,SUNNY,9.32
WHEAT,DRY,HUMID,20-30,WINDY,8.82
WHEAT,DRY,HUMID,20-30,RAINY,0.8
WHEAT,DRY,HUMID,30-40,NORMAL,8.85
WHEAT,DRY,HUMID,30-40,SUNNY,10.35
WHEAT,DRY,HUMID,30-40,WINDY,9.85
WHEAT,DRY,HUMID,30-40,RAINY,0.85
WHEAT,DRY,HUMID,40-50,NORMAL,9.7
WHEAT,DRY,HUMID,40-50,SUNNY,11.2
WHEAT,DRY,HUMID,40-50,WINDY,10.7
WHEAT,DRY,HUMID,40-50,RAINY,1.7
WHEAT,HUMID,DESERT,Oct-20,NORMAL,8.06
WHEAT,HUMID,DESERT,Oct-20,SUNNY,9.56
WHEAT,HUMID,DESERT,Oct-20,WINDY,9
WHEAT,HUMID,DESERT,Oct-20,RAINY,0.1
WHEAT,HUMID,DESERT,20-30,NORMAL,9.1
WHEAT,HUMID,DESERT,20-30,SUNNY,10.6
WHEAT,HUMID,DESERT,20-30,WINDY,10.1
WHEAT,HUMID,DESERT,20-30,RAINY,1.1
WHEAT,HUMID,DESERT,30-40,NORMAL,10.25
WHEAT,HUMID,DESERT,30-40,SUNNY,11.75
WHEAT,HUMID,DESERT,30-40,WINDY,11.25
WHEAT,HUMID,DESERT,30-40,RAINY,2.25
WHEAT,HUMID,DESERT,40-50,NORMAL,11.1
WHEAT,HUMID,DESERT,40-50,SUNNY,12.6
WHEAT,HUMID,DESERT,40-50,WINDY,12.1
WHEAT,HUMID,DESERT,40-50,RAINY,3.1
WHEAT,HUMID,SEMI ARID,Oct-20,NORMAL,7.15
WHEAT,HUMID,SEMI ARID,Oct-20,SUNNY,8.65
WHEAT,HUMID,SEMI ARID,Oct-20,WINDY,8.15
WHEAT,HUMID,SEMI ARID,Oct-20,RAINY,0.8
WHEAT,HUMID,SEMI ARID,20-30,NORMAL,8.1
WHEAT,HUMID,SEMI ARID,20-30,SUNNY,9.6
WHEAT,HUMID,SEMI ARID,20-30,WINDY,9.1
WHEAT,HUMID,SEMI ARID,20-30,RAINY,0.1
WHEAT,HUMID,SEMI ARID,30-40,NORMAL,9.2
WHEAT,HUMID,SEMI ARID,30-40,SUNNY,10.7
WHEAT,HUMID,SEMI ARID,30-40,WINDY,10.2
WHEAT,HUMID,SEMI ARID,30-40,RAINY,1.2
WHEAT,HUMID,SEMI ARID,40-50,NORMAL,10.1
WHEAT,HUMID,SEMI ARID,40-50,SUNNY,11.6
WHEAT,HUMID,SEMI ARID,40-50,WINDY,11.1
WHEAT,HUMID,SEMI ARID,40-50,RAINY,2.1
WHEAT,HUMID,SEMI HUMID,Oct-20,NORMAL,5.88
WHEAT,HUMID,SEMI HUMID,Oct-20,SUNNY,7.38
WHEAT,HUMID,SEMI HUMID,Oct-20,WINDY,6.88
WHEAT,HUMID,SEMI HUMID,Oct-20,RAINY,0.3
WHEAT,HUMID,SEMI HUMID,20-30,NORMAL,6.8
WHEAT,HUMID,SEMI HUMID,20-30,SUNNY,8.6
WHEAT,HUMID,SEMI HUMID,20-30,WINDY,7.8
WHEAT,HUMID,SEMI HUMID,20-30,RAINY,0.6
WHEAT,HUMID,SEMI HUMID,30-40,NORMAL,7.9
WHEAT,HUMID,SEMI HUMID,30-40,SUNNY,9.4
WHEAT,HUMID,SEMI HUMID,30-40,WINDY,8.9
WHEAT,HUMID,SEMI HUMID,30-40,RAINY,0.8
WHEAT,HUMID,SEMI HUMID,40-50,NORMAL,8.7
WHEAT,HUMID,SEMI HUMID,40-50,SUNNY,10.5
WHEAT,HUMID,SEMI HUMID,40-50,WINDY,9.7
WHEAT,HUMID,SEMI HUMID,40-50,RAINY,0.7
WHEAT,HUMID,HUMID,Oct-20,NORMAL,4.34
WHEAT,HUMID,HUMID,Oct-20,SUNNY,5.84
WHEAT,HUMID,HUMID,Oct-20,WINDY,5.34
WHEAT,HUMID,HUMID,Oct-20,RAINY,0.2
WHEAT,HUMID,HUMID,20-30,NORMAL,5.3
WHEAT,HUMID,HUMID,20-30,SUNNY,6.8
WHEAT,HUMID,HUMID,20-30,WINDY,6.3
WHEAT,HUMID,HUMID,20-30,RAINY,0.3
WHEAT,HUMID,HUMID,30-40,NORMAL,6.35
WHEAT,HUMID,HUMID,30-40,SUNNY,7.85
WHEAT,HUMID,HUMID,30-40,WINDY,7.35
WHEAT,HUMID,HUMID,30-40,RAINY,0.5
WHEAT,HUMID,HUMID,40-50,NORMAL,7.32
WHEAT,HUMID,HUMID,40-50,SUNNY,8.82
WHEAT,HUMID,HUMID,40-50,WINDY,8.32
WHEAT,HUMID,HUMID,40-50,RAINY,0.8
WHEAT,WET,DESERT,Oct-20,NORMAL,6.2
WHEAT,WET,DESERT,Oct-20,SUNNY,7.7
WHEAT,WET,DESERT,Oct-20,WINDY,7.2
WHEAT,WET,DESERT,Oct-20,RAINY,0.5
WHEAT,WET,DESERT,20-30,NORMAL,7.2
WHEAT,WET,DESERT,20-30,SUNNY,8.7
WHEAT,WET,DESERT,20-30,WINDY,8.2
WHEAT,WET,DESERT,20-30,RAINY,0.8
WHEAT,WET,DESERT,30-40,NORMAL,8.3
WHEAT,WET,DESERT,30-40,SUNNY,9.8
WHEAT,WET,DESERT,30-40,WINDY,9.3
WHEAT,WET,DESERT,30-40,RAINY,0.3
WHEAT,WET,DESERT,40-50,NORMAL,9.4
WHEAT,WET,DESERT,40-50,SUNNY,10.9
WHEAT,WET,DESERT,40-50,WINDY,10.4
WHEAT,WET,DESERT,40-50,RAINY,1.4
WHEAT,WET,SEMI ARID,Oct-20,NORMAL,5.3
WHEAT,WET,SEMI ARID,Oct-20,SUNNY,6.8
WHEAT,WET,SEMI ARID,Oct-20,WINDY,6.3
WHEAT,WET,SEMI ARID,Oct-20,RAINY,0.3
WHEAT,WET,SEMI ARID,20-30,NORMAL,6.25
WHEAT,WET,SEMI ARID,20-30,SUNNY,7.75
WHEAT,WET,SEMI ARID,20-30,WINDY,7.25
WHEAT,WET,SEMI ARID,20-30,RAINY,0.5
WHEAT,WET,SEMI ARID,30-40,NORMAL,7.35
WHEAT,WET,SEMI ARID,30-40,SUNNY,8.85
WHEAT,WET,SEMI ARID,30-40,WINDY,8.35
WHEAT,WET,SEMI ARID,30-40,RAINY,0.8
WHEAT,WET,SEMI ARID,40-50,NORMAL,8.34
WHEAT,WET,SEMI ARID,40-50,SUNNY,9.84
WHEAT,WET,SEMI ARID,40-50,WINDY,9.34
WHEAT,WET,SEMI ARID,40-50,RAINY,0.34
WHEAT,WET,SEMI HUMID,Oct-20,NORMAL,4
WHEAT,WET,SEMI HUMID,Oct-20,SUNNY,5.5
WHEAT,WET,SEMI HUMID,Oct-20,WINDY,5
WHEAT,WET,SEMI HUMID,Oct-20,RAINY,0.2
WHEAT,WET,SEMI HUMID,20-30,NORMAL,5.06
WHEAT,WET,SEMI HUMID,20-30,SUNNY,6.56
WHEAT,WET,SEMI HUMID,20-30,WINDY,6.06
WHEAT,WET,SEMI HUMID,20-30,RAINY,0.3
WHEAT,WET,SEMI HUMID,30-40,NORMAL,6.04
WHEAT,WET,SEMI HUMID,30-40,SUNNY,7.56
WHEAT,WET,SEMI HUMID,30-40,WINDY,7.06
WHEAT,WET,SEMI HUMID,30-40,RAINY,0.5
WHEAT,WET,SEMI HUMID,40-50,NORMAL,7.05
WHEAT,WET,SEMI HUMID,40-50,SUNNY,8.56
WHEAT,WET,SEMI HUMID,40-50,WINDY,8.05
WHEAT,WET,SEMI HUMID,40-50,RAINY,0.8
WHEAT,WET,HUMID,Oct-20,NORMAL,2.48
WHEAT,WET,HUMID,Oct-20,SUNNY,3.98
WHEAT,WET,HUMID,Oct-20,WINDY,3.48
WHEAT,WET,HUMID,Oct-20,RAINY,0.1
WHEAT,WET,HUMID,20-30,NORMAL,3.48
WHEAT,WET,HUMID,20-30,SUNNY,4.98
WHEAT,WET,HUMID,20-30,WINDY,4.48
WHEAT,WET,HUMID,20-30,RAINY,0.1
WHEAT,WET,HUMID,30-40,NORMAL,4.48
WHEAT,WET,HUMID,30-40,SUNNY,5.98
WHEAT,WET,HUMID,30-40,WINDY,5.48
WHEAT,WET,HUMID,30-40,RAINY,0.2
WHEAT,WET,HUMID,40-50,NORMAL,5.48
WHEAT,WET,HUMID,40-50,SUNNY,6.98
WHEAT,WET,HUMID,40-50,WINDY,6.48
WHEAT,WET,HUMID,40-50,RAINY,0.3
